age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
39,State-gov,77516,Bachelors,13,NotMarried,Adm-clerical,Not-in-family,White,Male,2174,0,40,United-States,<=50K
50,Self-emp-not-inc,83311,Bachelors,13,Married,Exec-managerial,Husband,White,Male,0,0,13,United-States,<=50K
38,Private,215646,HighGrad,9,Separated,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
53,Private,234721,dropout,7,Married,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,<=50K
28,Private,338409,Bachelors,13,Married,Prof-specialty,Wife,Black,Female,0,0,40,Cuba,<=50K
37,Private,284582,Masters,14,Married,Exec-managerial,Wife,White,Female,0,0,40,United-States,<=50K
49,Private,160187,dropout,5,NotMarried,Other-service,Not-in-family,Black,Female,0,0,16,Jamaica,<=50K
52,Self-emp-not-inc,209642,HighGrad,9,Married,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
31,Private,45781,Masters,14,NotMarried,Prof-specialty,Not-in-family,White,Female,14084,0,50,United-States,>50K
42,Private,159449,Bachelors,13,Married,Exec-managerial,Husband,White,Male,5178,0,40,United-States,>50K
37,Private,280464,CommunityCollege,10,Married,Exec-managerial,Husband,Black,Male,0,0,80,United-States,>50K
30,State-gov,141297,Bachelors,13,Married,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,India,>50K
23,Private,122272,Bachelors,13,NotMarried,Adm-clerical,Own-child,White,Female,0,0,30,United-States,<=50K
32,Private,205019,CommunityCollege,12,NotMarried,Sales,Not-in-family,Black,Male,0,0,50,United-States,<=50K
40,Private,121772,CommunityCollege,11,Married,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,,>50K
34,Private,245487,dropout,4,Married,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,45,Mexico,<=50K
25,Self-emp-not-inc,176756,HighGrad,9,NotMarried,Farming-fishing,Own-child,White,Male,0,0,35,United-States,<=50K
32,Private,186824,HighGrad,9,NotMarried,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States,<=50K
38,Private,28887,dropout,7,Married,Sales,Husband,White,Male,0,0,50,United-States,<=50K
43,Self-emp-not-inc,292175,Masters,14,Separated,Exec-managerial,Unmarried,White,Female,0,0,45,United-States,>50K
40,Private,193524,Doctorate,16,Married,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K
54,Private,302146,HighGrad,9,Separated,Other-service,Unmarried,Black,Female,0,0,20,United-States,<=50K
35,Federal-gov,76845,dropout,5,Married,Farming-fishing,Husband,Black,Male,0,0,40,United-States,<=50K
43,Private,117037,dropout,7,Married,Transport-moving,Husband,White,Male,0,2042,40,United-States,<=50K
59,Private,109015,HighGrad,9,Separated,Tech-support,Unmarried,White,Female,0,0,40,United-States,<=50K
56,Local-gov,216851,Bachelors,13,Married,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
19,Private,168294,HighGrad,9,NotMarried,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
54,,180211,CommunityCollege,10,Married,,Husband,Asian-Pac-Islander,Male,0,0,60,South,>50K
39,Private,367260,HighGrad,9,Separated,Exec-managerial,Not-in-family,White,Male,0,0,80,United-States,<=50K
