age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
41,State-gov,283917,CommunityCollege,11,Married,Prof-specialty,Husband,White,Male,0,0,35,United-States,>50K
27,Private,377680,CommunityCollege,11,NotMarried,Sales,Not-in-family,White,Male,0,0,50,United-States,<=50K
30,Private,57651,HighGrad,9,NotMarried,Adm-clerical,Unmarried,White,Male,0,2001,42,United-States,<=50K
19,Private,28790,CommunityCollege,10,NotMarried,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
42,Private,169383,Masters,14,Married,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
39,Local-gov,357962,CommunityCollege,12,NotMarried,Transport-moving,Not-in-family,White,Male,0,0,48,United-States,<=50K
31,Private,151484,HighGrad,9,NotMarried,Adm-clerical,Own-child,White,Female,0,0,8,United-States,<=50K
22,Private,51262,HighGrad,9,NotMarried,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K
59,Private,200700,Bachelors,13,Married,Craft-repair,Husband,Black,Male,0,0,48,United-States,>50K
47,Local-gov,128401,Doctorate,16,NotMarried,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
56,Local-gov,238582,CommunityCollege,10,Married,Craft-repair,Husband,White,Male,0,0,41,United-States,>50K
50,Private,128478,HighGrad,9,Married,Transport-moving,Husband,White,Male,0,0,70,United-States,<=50K
32,Private,235847,CommunityCollege,10,NotMarried,Exec-managerial,Other-relative,White,Female,0,0,50,United-States,<=50K
61,Self-emp-inc,84409,HighGrad,9,Married,Exec-managerial,Husband,White,Male,0,0,35,United-States,>50K
22,Private,229456,CommunityCollege,10,NotMarried,Adm-clerical,Own-child,Black,Female,0,0,35,United-States,<=50K
65,Local-gov,103153,dropout,4,Married,Exec-managerial,Husband,White,Male,0,1411,40,United-States,<=50K
46,Private,208872,CommunityCollege,11,Married,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
50,Self-emp-not-inc,95949,Bachelors,13,Married,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
30,Private,55291,Bachelors,13,Married,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
28,Private,190836,HighGrad,9,Married,Craft-repair,Husband,White,Male,3411,0,40,United-States,<=50K
28,Private,23324,CommunityCollege,10,NotMarried,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
17,,103810,dropout,8,NotMarried,,Own-child,White,Male,0,0,40,United-States,<=50K
57,Private,201991,Bachelors,13,Married,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
61,Private,230292,CommunityCollege,10,Married,Adm-clerical,Husband,White,Male,7688,0,40,United-States,>50K
37,Local-gov,218184,Bachelors,13,Married,Prof-specialty,Husband,White,Male,0,1887,40,United-States,>50K
38,State-gov,143517,Bachelors,13,NotMarried,Exec-managerial,Own-child,White,Male,0,0,40,United-States,<=50K
36,Private,130589,CommunityCollege,10,Separated,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States,<=50K
